year,month,day=  2019 11  2
lat, East lon.=   -45.871153182  170.502067992
     0.0  0.016218  0.041657  0.023982
    60.0  0.016341  0.041649  0.024804
   120.0  0.016464  0.041638  0.025627
   180.0  0.016587  0.041626  0.026449
   240.0  0.016711  0.041612  0.027271
   300.0  0.016834  0.041597  0.028093
   360.0  0.016959  0.041579  0.028914
   420.0  0.017083  0.041560  0.029735
   480.0  0.017207  0.041539  0.030555
   540.0  0.017332  0.041517  0.031375
   600.0  0.017457  0.041492  0.032195
   660.0  0.017582  0.041466  0.033014
   720.0  0.017708  0.041438  0.033832
   780.0  0.017834  0.041408  0.034650
   840.0  0.017959  0.041377  0.035467
   900.0  0.018085  0.041343  0.036283
   960.0  0.018212  0.041308  0.037099
  1020.0  0.018338  0.041271  0.037914
  1080.0  0.018465  0.041232  0.038728
  1140.0  0.018591  0.041192  0.039541
  1200.0  0.018718  0.041150  0.040354
  1260.0  0.018845  0.041106  0.041165
  1320.0  0.018972  0.041060  0.041976
  1380.0  0.019099  0.041012  0.042786
  1440.0  0.019226  0.040963  0.043594
  1500.0  0.019354  0.040911  0.044402
  1560.0  0.019481  0.040858  0.045208
  1620.0  0.019609  0.040804  0.046014
  1680.0  0.019736  0.040747  0.046818
  1740.0  0.019864  0.040689  0.047621
  1800.0  0.019992  0.040629  0.048423
  1860.0  0.020120  0.040567  0.049223
  1920.0  0.020247  0.040503  0.050023
  1980.0  0.020375  0.040437  0.050820
  2040.0  0.020503  0.040370  0.051617
  2100.0  0.020631  0.040301  0.052412
  2160.0  0.020759  0.040230  0.053206
  2220.0  0.020886  0.040158  0.053998
  2280.0  0.021014  0.040084  0.054788
  2340.0  0.021142  0.040007  0.055578
  2400.0  0.021270  0.039930  0.056365
  2460.0  0.021397  0.039850  0.057151
  2520.0  0.021525  0.039769  0.057935
  2580.0  0.021653  0.039685  0.058718
  2640.0  0.021780  0.039601  0.059498
  2700.0  0.021908  0.039514  0.060277
  2760.0  0.022035  0.039425  0.061055
  2820.0  0.022162  0.039335  0.061830
  2880.0  0.022289  0.039243  0.062604
  2940.0  0.022416  0.039150  0.063375
  3000.0  0.022543  0.039054  0.064145
  3060.0  0.022670  0.038957  0.064912
  3120.0  0.022796  0.038858  0.065678
  3180.0  0.022923  0.038758  0.066442
  3240.0  0.023049  0.038655  0.067203
  3300.0  0.023175  0.038551  0.067962
  3360.0  0.023301  0.038446  0.068720
  3420.0  0.023427  0.038338  0.069475
  3480.0  0.023553  0.038229  0.070227
  3540.0  0.023678  0.038118  0.070978
  3600.0  0.023803  0.038005  0.071726
  3660.0  0.023928  0.037891  0.072472
  3720.0  0.024053  0.037775  0.073216
  3780.0  0.024177  0.037657  0.073957
  3840.0  0.024302  0.037538  0.074695
  3900.0  0.024426  0.037417  0.075432
  3960.0  0.024549  0.037294  0.076165
  4020.0  0.024673  0.037170  0.076896
  4080.0  0.024796  0.037044  0.077625
  4140.0  0.024919  0.036916  0.078351
  4200.0  0.025041  0.036786  0.079074
  4260.0  0.025164  0.036655  0.079795
  4320.0  0.025286  0.036523  0.080513
  4380.0  0.025407  0.036388  0.081228
  4440.0  0.025529  0.036252  0.081941
  4500.0  0.025650  0.036115  0.082650
  4560.0  0.025770  0.035975  0.083357
  4620.0  0.025890  0.035835  0.084061
  4680.0  0.026010  0.035692  0.084762
  4740.0  0.026130  0.035548  0.085460
  4800.0  0.026249  0.035402  0.086155
  4860.0  0.026368  0.035255  0.086848
  4920.0  0.026486  0.035106  0.087537
  4980.0  0.026604  0.034956  0.088223
  5040.0  0.026722  0.034803  0.088906
  5100.0  0.026839  0.034650  0.089585
  5160.0  0.026956  0.034495  0.090262
  5220.0  0.027072  0.034338  0.090935
  5280.0  0.027188  0.034180  0.091606
  5340.0  0.027303  0.034020  0.092273
  5400.0  0.027418  0.033858  0.092936
  5460.0  0.027533  0.033695  0.093597
  5520.0  0.027647  0.033531  0.094254
  5580.0  0.027760  0.033365  0.094907
  5640.0  0.027874  0.033198  0.095557
  5700.0  0.027986  0.033029  0.096204
  5760.0  0.028098  0.032858  0.096847
  5820.0  0.028210  0.032686  0.097487
  5880.0  0.028321  0.032513  0.098123
  5940.0  0.028431  0.032338  0.098756
  6000.0  0.028541  0.032161  0.099385
  6060.0  0.028651  0.031984  0.100011
  6120.0  0.028760  0.031804  0.100632
  6180.0  0.028868  0.031624  0.101251
  6240.0  0.028976  0.031441  0.101865
  6300.0  0.029083  0.031258  0.102476
  6360.0  0.029190  0.031073  0.103083
  6420.0  0.029296  0.030887  0.103686
  6480.0  0.029401  0.030699  0.104285
  6540.0  0.029506  0.030510  0.104881
  6600.0  0.029610  0.030319  0.105472
  6660.0  0.029714  0.030127  0.106060
  6720.0  0.029817  0.029934  0.106644
  6780.0  0.029919  0.029739  0.107223
  6840.0  0.030021  0.029543  0.107799
  6900.0  0.030122  0.029346  0.108371
  6960.0  0.030223  0.029147  0.108939
  7020.0  0.030323  0.028947  0.109502
  7080.0  0.030422  0.028746  0.110062
  7140.0  0.030520  0.028544  0.110617
  7200.0  0.030618  0.028340  0.111169
  7260.0  0.030716  0.028135  0.111716
  7320.0  0.030812  0.027928  0.112259
  7380.0  0.030908  0.027720  0.112797
  7440.0  0.031003  0.027512  0.113332
  7500.0  0.031097  0.027301  0.113862
  7560.0  0.031191  0.027090  0.114388
  7620.0  0.031284  0.026877  0.114909
  7680.0  0.031376  0.026664  0.115427
  7740.0  0.031468  0.026449  0.115940
  7800.0  0.031559  0.026232  0.116448
  7860.0  0.031649  0.026015  0.116952
  7920.0  0.031738  0.025796  0.117452
  7980.0  0.031827  0.025577  0.117947
  8040.0  0.031914  0.025356  0.118437
  8100.0  0.032002  0.025134  0.118923
  8160.0  0.032088  0.024911  0.119405
  8220.0  0.032173  0.024687  0.119882
  8280.0  0.032258  0.024461  0.120354
  8340.0  0.032342  0.024235  0.120822
  8400.0  0.032425  0.024007  0.121285
  8460.0  0.032508  0.023779  0.121744
  8520.0  0.032589  0.023549  0.122198
  8580.0  0.032670  0.023318  0.122647
  8640.0  0.032750  0.023087  0.123092
  8700.0  0.032829  0.022854  0.123531
  8760.0  0.032907  0.022620  0.123966
  8820.0  0.032985  0.022385  0.124397
  8880.0  0.033061  0.022149  0.124822
  8940.0  0.033137  0.021913  0.125243
  9000.0  0.033212  0.021675  0.125659
  9060.0  0.033286  0.021436  0.126070
  9120.0  0.033360  0.021197  0.126476
  9180.0  0.033432  0.020956  0.126877
  9240.0  0.033504  0.020714  0.127273
  9300.0  0.033574  0.020472  0.127665
  9360.0  0.033644  0.020229  0.128051
  9420.0  0.033713  0.019984  0.128433
  9480.0  0.033781  0.019739  0.128809
  9540.0  0.033848  0.019493  0.129181
  9600.0  0.033915  0.019247  0.129547
  9660.0  0.033980  0.018999  0.129909
  9720.0  0.034045  0.018750  0.130265
  9780.0  0.034108  0.018501  0.130617
  9840.0  0.034171  0.018251  0.130963
  9900.0  0.034233  0.018000  0.131304
  9960.0  0.034294  0.017748  0.131641
 10020.0  0.034354  0.017496  0.131972
 10080.0  0.034413  0.017243  0.132297
 10140.0  0.034471  0.016989  0.132618
 10200.0  0.034528  0.016734  0.132934
 10260.0  0.034584  0.016479  0.133244
 10320.0  0.034640  0.016223  0.133549
 10380.0  0.034694  0.015966  0.133849
 10440.0  0.034748  0.015708  0.134144
 10500.0  0.034800  0.015450  0.134434
 10560.0  0.034852  0.015191  0.134718
 10620.0  0.034903  0.014932  0.134997
 10680.0  0.034952  0.014672  0.135271
 10740.0  0.035001  0.014411  0.135539
 10800.0  0.035049  0.014150  0.135803
 10860.0  0.035096  0.013888  0.136060
 10920.0  0.035142  0.013625  0.136313
 10980.0  0.035186  0.013362  0.136560
 11040.0  0.035230  0.013099  0.136802
 11100.0  0.035273  0.012835  0.137039
 11160.0  0.035315  0.012570  0.137270
 11220.0  0.035356  0.012305  0.137496
 11280.0  0.035396  0.012039  0.137716
 11340.0  0.035435  0.011773  0.137931
 11400.0  0.035474  0.011506  0.138141
 11460.0  0.035511  0.011239  0.138345
 11520.0  0.035547  0.010972  0.138544
