"user","screen_name","follows"
"1168003974","tslumley",238
"799395528","lilith_grace",50
"1199082878275112962","IncreaseStyle",0
"1396556095","ashstanleyryan",4
"51798900","PenaAndres",0
"14130929","ttso",3
"1104845784653029376","datascigen",6
"2866050540","mwooten34",1
"956798261406285824","CamGillesp",2
"757916940","timmkeogh",5
"375548276","mapolglase",12
"2233551997","OwenChurches",23
"4337960232","brendankellol",118
"1609301790","StirlingNigel",28
"1108256782491619328","v_boringfollow",7
"298397499","kloppenmum",0
"3314676337","leith_huffadine",11
"90317262","VinLew",52
"16741559","colecameron",22
"871269144","Duckofthemoon",1
"1113560529266548736","nzpeacesafety",1
"167908911","turbnz",4
"981091350203400192","ben_stubbing",1
"11999902","kcolbin",60
"977351962558578690","6bA5g",1
"2446021638","CBetridge",2
"39886809","NotThatAFleming",5
"4675087285","aelwan4",2
"29225911","misskateroche",3
"17750632","dgh",92
"940707352977686528","LaraMGreaves",32
"558460050","mishafredmeyer",2
"1045033721190121472","JOY017019494",0
"78343331","Outlawtweets",0
"87606674","nodexl",14
"12160482","marc_smith",15
"864995845673897984","NodeXL_Mktng",5
"151934168","smr_foundation",8
"1085267779639537664","slomka_robert",3
"880492010301423618","ludmila_janda",40
"221097490","realpaulyoung",84
"26460550","ajamesgreen",28
"1115956142721597440","OffersZones",1
"996160763831107586","BobbyMiller202",11
"1133521516056834048","_sambivalent",18
"1143072372980772864","CurlyPinko",11
"734585749","HilariousKiwi",57
"21847178","virtuallykaren",49
"509345763","AnnieHogan2",4
"352029771","hcirePT",114
"2396569663","KarinMary1",55
"606161672","jimathy42",1
"18495657","Sereeena",82
"1612238378","kellydanc",22
"1100202071234494465","HelenClarkFound",100
"1106505216709414912","roblogic_",13
"922739318203879424","subtle_disgust",0
"37402560","ginsengburger",19
"795187141756100609","simonecmarshall",32
"61125155","nzsd",101
"585203015","RBatchelorNZ",9
"374283155","nikilomax",7
"273912459","japinol",1
"234639036","cfcoverdale",1
"852338973393289216","sone64542410",1
"83593833","Rjhknight",1
"993732315766456320","PrasathLab",1
"1101907598998159361","r0mymendez",5
"904220789859373056","relkmi",2
"397469733","charles_baillie",1
"119213611","sunburstnz",0
"14870565","armish",3
"796415293925036033","yijungwu22",0
"406609880","kiwiskiNZ",22
"2710997346","HennigAAC",6
"15937583","tristamsparks",27
"2413996273","himamu0926",1
"1177025124928614401","MikiyaYuki",0
"988377745427181569","Lluissssssssss",1
"126689562","jvaghela4",1
"828226033581223938","elbicivolador",1
"2179114005","RichmanRonald",6
"274258311","crary016",4
"3152079223","GeospatialAmit",5
"14048901","jilliancyork",47
"479349888","geoffsimmonz",160
"4763701","aenertia",59
"582489901","APndrgrst",41
"2185274376","SmartButNotWise",28
"7161502","mjollnir",65
"572424149","andrewtychen",281
"479040098","rhysauck",21
"1574947477","debdebfish",1
"49435594","LisaCNZ",12
"3412390873","Ricksterrod13",5
"13488382","ViognierReviews",1
"20489671","rosehoare",33
"1956136892","phil_neubauer",26
"407048462","chrisclaynz",37
"1106462481759662080","Tiki_o_te_Ra",6
"1036536822396928000","NG_ChCh",18
"796806627647066112","AlParsai",24
"2490843720","Dlo_melwelham",5
"311850574","LindaOsborn1",37
"160535438","heliopathic",13
"234884536","NZJulieMarshall",51
"15748275","brettcd",1
"973955318987210752","allison_horst",84
"1171678435845869569","urbanista5",12
"736485228","wannabikkit",3
"1008075419755667456","HepCActionA",5
"848999952999038976","Jonodonozym",2
"1177386038571880449","hoskinghistory",97
"240167860","lyndamclea",4
"412491979","parrotnine",3
"33428682","therealfelix5",7
"13412622","MsWonderOutLoud",84
"389943119","pinkstephness",3
"29406343","clarecurranmp",263
"932741103471562752","akanesingatanz",0
"2311409328","TJAriu",4
"49942391","Windynell",25
"3565197674","sudo_xiao",2
"277722244","shanthomas",42
"18416977","LarryOfNZ",2
"1210578109","AxleRyde",42
"506632575","VenturaAli",45
"3334828595","GoldbergData",19
"922649970192236550","arwicken",4
"1085639564855627776","reproduckible",3
"44031284","katenewtonnz",128
"1569569352","rana__rose",2
"55211385","ginarembe",29
"1144605770467696642","Jacob61129332",1
"31591910","tommostafford",15
"20742767","kiri_te_karnage",24
"101636478","emiledonovan",69
"934271621866471425","ConcertoActual",1
"1169696969503039489","maddock_di",5
"65544902","marcuslush",234
"12261572","jlaundry",3
"220849542","tansleyg",1
"731054596802510848","jfacrawford",14
"1360195334","theactofbeing",147
"1580535385","jdblischak",24
"18576225","tanyafretz",54
"1419680599","ClaireWhelen",1
"293953028","Clare_Hendry",1
"2744459353","SamPassmore_",7
"140154190","iannello_",1
"142109657","SupergoofNZ",35
"15046635","caffeine_addict",174
"1157602280260063232","hkoanz",1
"97058402","annafergussonnz",43
"1169013724600045569","QODAdvocacy",7
"143761668","_glitterworm",20
"139518412","philiplyth",169
"16673713","ExcapeArtist",42
"859911392576405509","brad_circuit",7
"1214378029","InaBeeK",17
"1158500631021117446","DrAliMonty",1
"805946533401141248","ElectoralCommNZ",73
"1648831076","snarky_mk",67
"65482185","germalist",39
"907411010780143616","scaredyfish",5
"2388307004","QueenofCobden",26
"887771401","whereivewalked",29
"327165626","DrAndrewButcher",26
"1149295118480007168","Gfl3000",1
"136532538","ppgardne",55
"438444719","fran_amery",2
"1411105375","StatStas",22
"18262382","yiqinfu",7
"1574895132","verycoolhuman",1
"231239511","RhyvenNZ",42
"1036117723300818944","extraiterations",5
"975399144113278976","AmbientGrowl",1
"793246524780216320","DadTrans",9
"264623962","davidcapie",76
"16804885","fraserStCbrown",16
"316378154","moylecroft",2
"14454969","Ricki_28",1
"2975404860","Rebecca_Ruwhiu",6
"14851463","kellyperazzolo",3
"59367550","carenwilton",31
"711690492","anakuroma",1
"57827467","KiwiDalang",29
"2692163364","clockwork_fish",24
"844377336082419713","dileepa_fonseka",31
"4856259547","ellapeaches1984",41
"2848240818","TheGossamerFile",27
"2446650408","AmandaMcVitty",24
"196479133","getrochelle",28
"886517374198792193","saidColleen",24
"1152797330669592576","1DRargh",10
"18206130","angew",29
"799161002927353857","swarthy_swabs",21
"837401636712566785","SwitcherNZ",57
"18174210","Kiwiseabreeze",164
"1158800582888443904","NatLeeActually",6
"79072033","vanessacwills",17
"14141385","CabbageMittens",68
"24575331","plinythemidlkid",34
"1929860378","comingupcharlie",290
"859326944","lc__lc",1
"74363532","Siobhancole11",9
"22247910","DevinMynett",44
"754986065287483392","justine_ps5",3
"88795213","careyfabfuture",2
"1263401370","SusanStrongman",163
"4920801553","AndrewPerryNZ",23
"729498254195314688","whiskymead",66
"102604755","senddanupdate",2
"2765803064","boundryrunner",51
"1611937782","juliankingnz",33
"19015987","lizardb0y",13
"2879000629","Not_A_Yoga_Matt",37
"17167972","David_Cormack",354
"854982482273468416","novannovs",1
"998675667838488576","james_azam",2
"4854601521","ourlawlesstimes",2
"91975097","jmblanch",4
"1607654676","m4rchmain",9
"67290711","mapmakerdavid",45
"3306757754","lendsen",1
"357689527","TheSmartJokes",19
"730352066","AmyBieleski",3
"25863464","izzywhizzygirl",2
"502404373","f4mmedia",1
"1032068116820287488","NathanMonk10",1
"1143087874323038208","Nathan_Why",1
"160227163","dse_fungi",2
"2930435888","dtsh2",16
"1114086427808002048","Yungnatttt",20
"12306","zentree",77
"22581600","SkinkySam",13
"33752742","MarkSReynolds",48
"1658681191","mistakenlasagne",0
"90392849","raffesmith",8
"2229257005","HopeWithWhimsy",4
"2418330518","mountasx",6
"3504769453","toddrednz",6
"830577638510964736","Christo30851620",0
"725374034","phnatalie",2
"281326984","SheBeGemmin",14
"3755252293","bikesbooksbrews",6
"3964548552","BenCRiordan",5
"15388660","cameronfindlay",49
"54980136","ColocationUSA",2
"289257096","MtAlbertMassive",23
"73483","russelljsmith",35
"73285427","GreenSteve1",9
"392250083","irateelf",0
"716356146496278528","ReidFrancis88",21
"15338019","sobri",2
"1245381091","blairwillems",4
"21092434","manmadepowers",8
"22906279","lesgates",13
"2471859036","GregAFC",4
"1921571587","JaydeFlett",21
"939036090790436864","the_caldweller",11
"1692295147","Murfitoro",4
"15499810","andrewpaulellis",3
"769769229729923072","filterfeeding",6
"20118846","timjonesbooks",71
"1711073353","JacquelineBeggs",64
"259940723","vivster81",166
"49516166","Rosspnz",11
"870636869876187136","JamieHisBright",1
"129130805","YazanDarwazeh",4
"32683532","hamishfletcher",58
"490003614","nznovak",7
"23735583","Lincoln81",7
"463663073","TimHerbert12",2
"2604901940","vanWalravenMark",1
"29840478","mbaines3",13
"497428673","McKenzieAl",71
"989780030619172864","stephlavinia",0
"917633552681857024","comradenewhope",48
"1057389751563481088","hyphenTab",30
"293312530","ramblejamble",12
"1099996675764977664","LafargueNz",2
"1132956748661190656","officialsmartcs",1
"325817476","srober11",2
"3974011","drlambchop",9
"2800429409","fsorodrigues",14
"594920752","SRHAstraea",21
"1914904513","haenon",1
"1141220011140239360","newcontact196",2
"20738885","mattliddy",10
"24588169","MK3NZ",2
"56434472","Anna_Eilers",4
"156142024","secastro",10
"202844201","JamesDunbier",0
"10454332","kayakr",41
"2649924378","tomshanleynz",27
"366154590","GurmanBhatia",11
"730919378045173761","AUTCSDA",31
"701497444333277185","KristinFanselow",8
"20037424","howdystrangr",17
"25567789","cdlanderson",77
"56279356","raghuviv",1
"1088448157","artyfilms",3
"59387855","GeometriDama",0
"2789464746","_jibinjose",1
"97940269","JamieASmall",13
"295130433","kennykatie",88
"988329757258407936","WC_Principal",22
"3035259068","djexeter",6
"219078550","humeursdevictor",6
"862532191","nZdavidnZ",1
"1014049190593290240","nzkronus",4
"25259051","Supagood",1
"303709305","davidtiplady",7
"1048787252447346689","CatSchrodinger3",3
"19730474","caelanhuntress",11
"3327907772","NZleftrightout",26
"105944390","SebWCS",3
"16583009","mlascarides",57
"1165053631","Craigbikebike",1
"26891656","PeterJThomson",49
"18204149","LaurieFleming",93
"1132335834","StuartCrosswell",1
"1261712899","bwstephenson",1
"13420792","threeboysbrew",39
"14044932","paultudor",70
"47513887","ashalpaca",2
"1125430448576876544","oliverrbrowne",1
"735912030","hewligan123",4
"458185433","ChrisBauld",2
"1058941568038498304","M_W_Palmer",14
"865700851221790720","TalkWelly",57
"2583039692","DDave_R",1
"1549839012","HendoWest",74
"19123005","aristotle42",1
